Ciudad,Bogota,Madrid,Munich,Londres,Amsterdam,Estambul,Nueva York,Tokio,Sao Paulo,Fortaleza,Paris,Roma,Rio de janeiro,Helsinki,Doha,Ciudad del cabo,Montreal,Toronto,Miami,Hangzhou,Beijing,Lima,Cancun,Buenos Aires,Hong Kong,Sidney,Manama,New Delhi,Zurich,Ciudad de mexico,Estocolmo
Bogota,10000,"0,10",10000,"0,11",10000,10000,"0,12",10000,"0,13",10000,"0,10",10000,"0,15",10000,10000,10000,"0,13","0,13","0,10",10000,10000,"0,11","0,12","0,13",10000,10000,10000,10000,10000,"0,10",10000
Madrid,"0,10",10000,"0,12","0,11","0,11","0,12","0,11",10000,"0,10",10000,"0,12","0,12",10000,"0,11","0,11",10000,"0,12","0,11","0,11",10000,10000,"0,10","0,12","0,11",10000,10000,10000,10000,"0,12","0,10","0,12"
Munich,10000,"0,12",10000,"0,10","0,12","0,11","0,10","0,11",10000,10000,"0,14","0,21","0,10","0,12","0,11",10000,"0,11","0,10",10000,10000,10000,10000,"0,11",10000,10000,10000,10000,"0,11","0,29",10000,"0,13"
Londres,"0,10","0,11","0,10",10000,"0,17","0,10","0,11","0,12","0,09",10000,"0,18","0,11","0,09","0,11","0,12","0,11","0,12","0,10","0,11",10000,10000,10000,"0,11",10000,"0,11",10000,"0,11","0,10","0,13","0,10","0,11"
Amsterdam,"0,10","0,11","0,12","0,17",10000,"0,10","0,10",10000,"0,09",10000,"0,17","0,11","0,11","0,12","0,12","0,12","0,12","0,10",10000,10000,10000,"0,11","0,11","0,11","0,12",10000,10000,"0,11","0,17","0,10","0,13"
Estambul,"0,10","0,12","0,11","0,10","0,10",10000,"0,11","0,12","0,10",10000,"0,10","0,13",10000,"0,14","0,12","0,12","0,11","0,11","0,10",10000,10000,10000,10000,"0,09","0,13",10000,"0,10","0,13","0,10","0,10","0,13"
Nueva York,"0,12","0,11","0,11","0,11","0,10","0,11",10000,"0,11","0,11",10000,"0,11","0,10",10000,"0,12","0,12","0,14","0,20","0,11","0,11","0,12",10000,"0,11","0,11","0,11","0,11",10000,10000,"0,10","0,10","0,12","0,11"
Tokio,10000,10000,"0,12","0,12","0,13","0,13","0,12",10000,10000,10000,"0,12","0,12",10000,"0,15","0,12",10000,"0,13","0,12",10000,"0,19","0,24",10000,10000,10000,"0,11","0,13",10000,"0,14","0,12","0,11",10000
Sao Paulo,"0,13","0,09",10000,"0,10","0,10","0,12","0,11",10000,10000,"0,11","0,10","0,10","0,18",10000,"0,12",10000,"0,12","0,11","0,11",10000,10000,"0,15",10000,"0,12",10000,10000,10000,10000,"0,10","0,10",10000
Fortaleza,10000,10000,10000,10000,10000,10000,10000,10000,"0,11",10000,"0,16",10000,"0,14",10000,10000,10000,10000,10000,"0,17",10000,10000,10000,10000,"0,11",10000,10000,10000,10000,10000,10000,10000
Paris,"0,10","0,12","0,14","0,18","0,17","0,10","0,10","0,11","0,09","0,15",10000,"0,12","0,10","0,12","0,12","0,13","0,10","0,10","0,11","0,13",10000,"0,10","0,11","0,11","0,11",10000,"0,12","0,10","0,19","0,10","0,13"
Roma,10000,"0,12","0,21","0,11","0,11","0,11","0,10",10000,10000,10000,"0,12",10000,10000,"0,12","0,12",10000,"0,11","0,11","0,11",10000,10000,10000,10000,10000,10000,"0,11",10000,10000,"0,23",10000,10000
Rio de janeiro,10000,10000,"0,10",10000,"0,11",10000,10000,10000,"0,17","0,12","0,10",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,10",10000,10000,10000,10000,10000,10000,10000
Helsinki,10000,"0,11","0,12","0,11","0,12","0,14",10000,10000,10000,10000,"0,07","0,09",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,15","0,14",10000,"0,17"
Doha,10000,"0,12","0,11","0,08","0,12","0,12","0,11","0,13","0,12",10000,"0,12","0,12",10000,10000,10000,"0,12","0,11",10000,"0,11",10000,10000,10000,10000,10000,"0,15","0,10",10000,"0,11","0,12",10000,"0,10"
Ciudad del cabo,10000,10000,10000,"1,00","1,00",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Montreal,10000,10000,"0,10","0,10","0,12",10000,"0,20",10000,"0,12",10000,"0,10","0,10",10000,10000,"0,12",10000,10000,"0,11","0,11",10000,10000,10000,"0,13",10000,10000,10000,10000,10000,"0,11","0,14",10000
Toronto,"0,12","0,12","0,10","0,10","0,10",10000,"0,11","0,12","0,11",10000,"0,10","0,11",10000,10000,"0,11",10000,"0,11",10000,"0,12",10000,10000,10000,"0,13",10000,10000,10000,10000,"0,11","0,10","0,12",10000
Miami,"0,11","0,11",10000,"0,10",10000,"0,00","0,11",10000,"0,00","0,00","0,00","0,10",10000,10000,"0,11",10000,"0,12","0,12",10000,10000,10000,"0,11","0,14","0,11",10000,10000,10000,10000,"0,10","0,11",10000
Hangzhou,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,10",10000,10000,10000,"0,19",10000,10000,10000,10000,10000,10000
Beijing,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,10",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Lima,"0,11","0,10",10000,10000,"0,10",10000,"0,11",10000,"0,14",10000,"0,10",10000,"0,10",10000,10000,10000,10000,10000,"0,11",10000,10000,10000,"0,09","0,10",10000,10000,10000,10000,10000,"0,08",10000
Cancun,"0,08","0,08",10000,"0,11",10000,"0,11","0,11",10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,11","0,10","0,14",10000,10000,"0,08",10000,10000,10000,10000,10000,10000,10000,"0,09",10000
Buenos Aires,"0,10","0,08",10000,10000,"0,09",10000,"0,10",10000,"0,11",10000,"0,10","0,11","0,12",10000,10000,10000,10000,10000,"0,11",10000,10000,"0,12",10000,10000,10000,10000,10000,10000,10000,"0,11",10000
Hong Kong,10000,10000,10000,"0,11",10000,10000,10000,"0,11",10000,10000,10000,10000,10000,10000,"0,15",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,11",10000,"0,18",10000,10000,10000
Sidney,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,10",10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,11",10000,10000,"0,11",10000,10000,10000
Manama,10000,10000,10000,"0,12",10000,"0,13",10000,10000,10000,10000,"0,12","0,13",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,"0,12",10000,10000,10000
